Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
Sudan,Africa,43845371,9663,90,604,2,4624,18,4435,,220,14,401,9,EasternMediterranean
Uzbekistan,Asia,33469623,9199,121,27,,6034,,3138,24,275,0.8,1121236,33500,Europe
Norway,Europe,5421422,8902,,251,,8138,,513,3,1642,46,338860,62504,Europe
Malaysia,Asia,32366717,8643,,121,,8437,,85,2,267,4,782638,24180,WesternPacific
Australia,Australia/Oceania,25500580,8066,65,104,,7132,42,830,7,316,4,2606060,102196,WesternPacific
Finland,Europe,5540784,7241,,328,,6700,,213,,1307,59,248900,44921,Europe
DRC,Africa,89540629,7189,,176,,2317,,4696,,80,2,,,Africa
Senegal,Africa,16741537,7054,,121,,4599,,2334,36,421,7,81779,4885,Africa
El Salvador,North America,6486391,7000,,200,9,4137,22,2663,195,1079,31,167584,25836,Americas
Kenya,Africa,53767633,6941,,152,,2109,,4680,18,129,3,176059,3274,Africa
Kyrgyzstan,Asia,6524176,6767,506,76,10,2655,125,4036,24,1037,12,228857,35078,Europe
North Macedonia,Europe,2083373,6625,,321,,2748,,3556,55,3180,154,63383,30423,Europe
Venezuela,South America,28435171,6273,,57,,2100,,4116,11,221,2,1283692,45145,Americas
Haiti,North America,11402813,6101,61,110,3,1141,109,4850,,535,10,12435,1091,Americas
Tajikistan,Asia,9536933,6058,,52,,4690,,1316,,635,5,,,Europe
Ethiopia,Africa,114950597,5846,,103,,2430,,3313,35,51,0.9,250604,2180,Africa
Gabon,Africa,2225528,5513,,42,,2508,,2963,10,2477,19,38692,17386,Africa
Guinea,Africa,13130716,5450,,33,,4392,,1025,24,415,3,14407,1097,Africa
Bulgaria,Europe,6947828,5315,,232,,2802,,2281,31,765,33,147524,21233,Europe
Bosnia and Herzegovina,Europe,3280591,4788,,189,,2515,,2084,4,1459,58,95885,29228,Europe
